0,1
music,30601
official,22801
new,21621
nfollow,15665
live,12773
youtube,11325
star,10008
news,9868
twitter,9861
ntwitter,9503
video,9156
late,8659
facebook,8652
ninstagram,8583
instagram,8444
nsubscribe,8325
nfacebook,8325
nthe,7034
subscribe,6843
full,6457
funny,6213
nwatch,6095
entertainment,5582
film,5493
tmz,5393
best,5275
com,5219
jimmy,5134
comedy,5116
available,5037
tv,5005
nlike,4762
ft,4753
james,4652
makeup,4569
nget,4332
game,4298
christmas,4283
got,4274
every,4157
nand,4115
feat,4028
jedi,3991
nmusic,3807
series,3801
lil,3635
celebrity,3620
interview,3600
nbc,3590
follow,3525
online,3494
