0,1
facebook,8538
youtube,7844
instagram,7776
mehr,7118
kanal,6606
video,6591
abonnieren,5938
de,5332
deutsch,4644
twitter,4516
ndie,4041
gibt,3976
dazn,3748
mal,3530
folgen,3464
streife,3402
folge,3288
kamera,3279
geht,3192
ganze,3154
link,3148
neue,3116
ninstagram,3060
köln,3041
welt,3020
nfacebook,3007
immer,2980
musik,2855
dabei,2847
fifa,2845
provision,2813
news,2708
fußball,2611
by,2572
spaß,2545
live,2499
nmein,2445
produkte,2432
diy,2418
einfach,2374
leben,2344
of,2286
teil,2255
galileo,2232
the,2225
liebe,2161
natürlich,2134
nhier,2133
selber,2088
ntwitter,2065
heute,2065
