0,1
new,64658
nfollow,46457
news,42224
video,40730
youtube,37522
live,33013
facebook,31319
instagram,29707
ntwitter,28614
subscribe,28479
nsubscribe,27485
ninstagram,27435
nfacebook,26357
best,24372
movie,23600
late,23311
nthe,21927
makeup,20750
nwatch,18327
com,17367
use,15955
latest,15762
every,15278
film,14899
nlike,14719
jimmy,14219
james,14173
follow,13383
nget,12887
war,12818
nmusic,12739
series,12277
highlight,11884
got,11871
free,11823
nbc,11500
sport,11483
christmas,11367
online,11282
song,11276
team,11072
thing,10800
available,10563
celebrity,10543
made,10285
big,10140
nba,10065
also,10013
ever,9937
game,9714
episode,9704
