0,1
plus,12550
vidéo,12494
facebook,8337
ici,8189
chaîne,7441
vidéos,7309
cette,6637
instagram,6017
tous,5942
nfacebook,5907
faire,5629
ntwitter,5522
youtube,4829
ninstagram,4764
fait,4518
the,4100
monde,4093
aussi,3921
ça,3821
snapchat,3707
npour,3603
bien,3411
chaine,3368
réseaux,3318
abonner,3250
tv,3189
johnny,3181
être,3154
live,3096
vie,3094
sans,3093
musique,3080
hallyday,3078
sociaux,3062
merci,3062
paris,3033
toutes,2993
très,2866
français,2833
comment,2800
nmerci,2772
video,2757
abonnez,2730
avoir,2721
suivre,2720
of,2628
humour,2612
recette,2609
comme,2588
nabonnez,2583
nouvelle,2531
